sample,pH_measured,temp,alkalinity1,alkalinity1.corrected,alkalinity2,alkalinity2.corrected,meanALK,mv1,mv2,pH.ts.1,pH.ts.2,mean_pHts,flag,S,T,Patm,P,pH,CO2,fCO2,pCO2,fCO2pot,pCO2pot,fCO2insitu,pCO2insitu,HCO3,CO3,DIC,ALK,OmegaAragonite,OmegaCalcite,pH_insitu
ST1,8.01,13.2,2530.922,2547.922,2530.748,2547.748,2547.835,-59.9542,-59.9292,8.0264,8.026,8.0262,8,38,13.2,1,0,8.0262,1.79E-05,459.1790141,460.8826983,459.1790141,460.8826983,459.1790141,460.8827015,0.002134328,0.000167944,0.002320146,0.002547835,2.516187209,3.920555636,8.026193326
ST2,7.98,17.5,2536.11,2553.11,2533.397,2550.397,2551.7535,-58.9627,-58.511,8.0095,8.0017,8.0056,8,38,17.5,1,0,8.0056,1.67E-05,486.9307459,488.6414534,486.9307459,488.6414534,486.9307459,488.6414567,0.002097169,0.00018559,0.00229942,0.002551754,2.80760499,4.333205947,8.005592081
ST3,8,19.9,2539.673,2556.673,2540.416,2557.416,2557.0445,-59.5775,-58.7711,8.02,8.0062,8.0131,8,38,19.9,1,0,8.0131,1.53E-05,477.5169703,479.144936,477.5169703,479.144936,477.5169703,479.144939,0.002060779,0.000203148,0.002279195,0.002557045,3.094842088,4.747680921,8.013091905
ST4,7.97,25,2513.928,2530.928,2515.672,2532.672,2531.8,-59.0133,-58.283,8.0103,7.9978,8.0041,8,38,25,1,0,8.0041,1.34E-05,480.7252529,482.2643143,480.7252529,482.2643143,480.7252529,482.264317,0.00197105,0.000229988,0.002214474,0.0025318,3.57020734,5.397664718,8.004090664
ST5,8.02,27.5,2558.051,2575.051,2558.785,2575.785,2575.418,-61.0291,-60.8732,8.0448,8.0421,8.0435,8,38,27.5,1,0,8.0435,1.14E-05,434.1421863,435.4904902,434.1421863,435.4904902,434.1421863,435.4904924,0.001921967,0.000269016,0.002202396,0.002575418,4.222967816,6.333898446,8.0434916
SP1,8.02,20.6,2504.283,2521.283,2512.495,2529.495,2525.389,-58.4259,-56.9059,8.0003,7.9743,7.9873,8,38,20.6,1,0,7.9873,1.59E-05,505.6975248,507.4066752,505.6975248,507.4066752,505.6975248,507.4066785,0.00204762,0.000195267,0.002258748,0.002525389,2.981526567,4.565326728,7.987290891
SP2,7.84,20.2,2496.362,2513.362,2507.947,2524.947,2519.1545,-51.6798,-52.5678,7.8849,7.9001,7.8925,8,38,20.2,1,0,7.8925,2.07E-05,651.5704641,653.7839753,651.5704641,653.7839753,651.5704641,653.7839809,0.00212615,0.00016057,0.002307382,0.002519155,2.448537843,3.753229406,7.892487215
SP3,7.63,20.1,2489.743,2506.743,2492.263,2509.263,2508.003,-45.814,-43.2869,7.7846,7.7414,7.763,8,38,20.1,1,0,7.763,2.90E-05,910.4814132,913.5792531,910.4814132,913.5792531,910.4814132,913.5792639,0.002206344,0.000123201,0.002358496,0.002508003,1.878094134,2.87959194,7.762979659
SP4,7.42,20.1,2481.029,2498.029,2489.045,2506.045,2502.037,-42.7442,-39.1185,7.7321,7.6701,7.7011,8,38,20.1,1,0,7.7011,3.38E-05,1064.441106,1068.063412,1064.441106,1068.063412,1064.441106,1068.063427,0.002236782,0.000108309,0.002378939,0.002502037,1.651079212,2.531520815,7.701074783
SP5,7.22,20.1,2478.824,2495.824,2510.059,2527.059,2511.4415,-39.1501,-36.1707,7.6707,7.6197,7.6452,8,38,20.1,1,0,7.6452,3.91E-05,1231.073563,1235.263711,1231.073563,1235.263711,1231.073563,1235.263731,0.002274501,9.68E-05,0.002410481,0.002511442,1.476149272,2.263309102,7.64516974
SL1,8.01,20.1,2497.823,2514.823,2500.818,2517.818,2516.3205,-57.8516,-56.8719,7.9905,7.9737,7.9821,8,38,20.1,1,0,7.9821,1.63E-05,511.197762,512.9362856,511.197762,512.9362856,511.197762,512.936289,0.002051592,0.000189728,0.002257576,0.002516321,2.892245909,4.43454237,7.982090787
SL2,8.01,20.1,2493.366,2510.366,2487.257,2504.257,2507.3115,-58.3432,-57.2969,7.9989,7.981,7.9899,8,38,20.1,1,0,7.9899,1.59E-05,498.564098,500.2596317,498.564098,500.2596317,498.564098,500.259635,0.002037151,0.000191807,0.002244811,0.002507312,2.923932032,4.483125187,7.989891021
SL3,8,20.2,2489.789,2506.789,2490.683,2507.683,2507.236,-58.064,-56.3244,7.9941,7.9643,7.9792,8,38,20.2,1,0,7.9792,1.63E-05,513.3053608,515.0488856,513.3053608,515.0488856,513.3053608,515.048889,0.002045071,0.000188573,0.002249921,0.002507236,2.875552037,4.40777605,7.979190644
SL4,8.01,20.1,2484.076,2501.076,2477.895,2494.895,2497.9855,-58.1735,-56.8041,7.996,7.9725,7.9843,8,38,20.1,1,0,7.9843,1.60E-05,504.304047,506.0191124,504.304047,506.0191124,504.304047,506.0191158,0.002034204,0.000189076,0.002239316,0.002497986,2.882296969,4.419288135,7.98429081
SL5,8.01,20.2,2476.209,2493.209,2418.016,2435.016,2464.1125,-58.7253,-58.4783,8.0054,8.0012,8.0033,8,38,20.2,1,0,8.0033,1.50E-05,471.9602389,473.5632532,471.9602389,473.5632532,471.9602389,473.5632561,0.001987641,0.000193735,0.002196342,0.002464113,2.954274484,4.528445372,8.003291318